m/z (positive mode),RT,R1a_0.5h,R1b_0.5h,R1c_0.5h,R2a_0.5h,R2b_0.5h,R2c_0.5h,R3a_0.5h,R3b_0.5h,R3c_0.5h,R1a_4h,R1b_4h,R1c_4h,R2a_4h,R2b_4h,R2c_4h,R3a_4h,R3b_4h,R3c_4h,R1a_24h,R1b_24h,R1c_24h,R2a_24h,R2b_24h,R2c_24h,R3a_24h,R3b_24h,R3c_24h,R1a_48h,R1b_48h,R1c_48h,R2a_48h,R2b_48h,R2c_48h,R3a_48h,R3b_48h,R3c_48h,A1a_0.5h,A1b_0.5h,A1c_0.5h,A2a_0.5h,A2b_0.5h,A2c_0.5h,A3a_0.5h,A3b_0.5h,A3c_0.5h,A1a_4h,A1b_4h,A1c_4h,A2a_4h,A2b_4h,A2c_4h,A3a_4h,A3b_4h,A3c_4h,A1a_24h,A1b_24h,A1c_24h,A2a_24h,A2b_24h,A2c_24h,A3a_24h,A3b_24h,A3c_24h,A1a_48h,A1b_48h,A1c_48h,A2a_48h,A2b_48h,A2c_48h,A3a_48h,A3b_48h,A3c_48h
238.16798,20.86,4899.428571,4739.428571,4848,4108.571429,4376,3922.285714,17764.74442,4522.857143,19282.33482,7418,8577,25630.17383,48857.05859,49756.21875,52088.91797,32718.18945,35450.48828,9399,11722,37018.94531,11051,62608.05078,58848.34375,60543.14844,42633.69141,39482.76563,39776.33984,36255.95703,35887.44531,34934.62891,45679.72266,49500.27734,14678,35906.72656,35618.76563,34118.05469,4170.857143,3890.285714,14281.70089,5822.285714,21682.66964,22437.58929,5268,4874.285714,5553.714286,8881,27175.41797,28897.38672,40192.62109,34951.24219,41997.97266,40231.46484,37301.96875,40040.47266,37877.90234,37560.21484,33136.30078,6500,6061,18366.34766,69774.86719,80816.15625,78718.98438,4794,15866.49707,4683,3757,457,3483,0,3797,416
239.08151,21.16,398.2857143,0,1601.69322,1122.716936,1229.676897,420,1839.242885,570.8571429,425.7142857,861,836,3716.021729,871,2267.137695,558,577,2819.223877,685,0,668,0,2121.245605,0,0,0,666,639,665,658,678,2403.731445,572,566,639,0,2683.681885,317.7142857,935.4285714,1069.142857,244.5714286,1820.742048,761.1428571,805.7142857,736,786.8571429,2868.775635,2975,3038,2584.564453,2978.536865,2916.61377,885,2524,3643.800537,2497.196045,626,2420.787598,2459,3031,699,871,1625,3624.605713,1791,363,582,1734,1794,1990,1677,2113.275146,3128.132324
239.10071,23.2,0,0,341.1428571,708.5714286,637.7142857,420,696,826.2857143,617.1428571,861,836,1440,871,761,558,0,776,685,0,668,1271,576,0,0,998,666,639,665,658,678,624,572,566,1265,1158,1244,4911.857701,4895.109933,5062.887277,3513.690569,826.8571429,761.1428571,3845.310268,3413.671596,3910.281808,14341.63965,13735.7334,15662.43652,2413,2145,1888,2503,2524,2454,1166,4480.019043,5970.933105,9680.816406,10758.04297,12529.32617,8386.079102,9358.975586,1487,1791,10137.05469,10518.70508,7951.098145,9034.636719,8419.428711,8037.512207,1928,9338.076172
239.12883,496,1213.142857,1340,1352,652,1015.428571,7612.885045,1219.428571,1072,12659.63728,1886,34242.92188,1918,2370,29660.9082,1883,18407.63672,16942.625,1957,2698,28048.42773,27191.42773,2039,22429.96289,2620,76769.73438,73339.48438,2546,1651,1751,1978,12389.10156,1505,12745.75781,2264,2154,2225,32482.375,1049.142857,1161.714286,17547.88393,18972.32366,18193.94308,14969.0904,14824.33817,14323.60045,16278.375,1785,20728.48047,28256.50586,2570,2531,33310.83984,31974.0918,62876.22266,26195.92578,26884.35547,28795.23633,22687.92383,1616,1881,30227.2832,30369.98047,28499.02148,27564.0332,29469.01563,31872.9375,17789.60547,18866.24609,20013.9375,65203.27734,21069.66602,69797.53125
240.06215,20.31,0,291.4285714,380,0,66.28571429,0,451.4285714,1264.081892,386.2857143,4589.034668,4298.490234,2898.475098,578,0,3127.949707,2058.479736,586,2014.729736,693,619,638,448,0,162,419,1790.822388,650,2490.951904,2695.110596,2357.550049,699,800,2257.590576,0,622,491,259.4285714,230.8571429,0,46.85714286,0,0,0,0,0,725,2442.021973,2324.933105,526,2362.868652,0,1627.462891,2169.078369,470,539,0,468,0,508,0,0,178,420,0,0,0,0,0,486,0,0,408
240.17183,20.15,1258.285714,1360.571429,1668.571429,5058.545201,1307.428571,1259.428571,2050.857143,6249.232143,1358.285714,9255.0625,8115.490723,9765.723633,11737.25879,8873.05957,2216,2473,2149,10150.07129,8392.669922,1832,7716.306152,1714,1870,1838,3467,1813,2043,1977,1942,3332,1853,1936,1931,2308,2092,2196,6544.210379,6236.666853,1232,1261.142857,1128.571429,6289.807478,5165.905134,1150.285714,1210.857143,2747,3416,3327,2763,2616,2491,2644,2632,2690,2319,2227,2250,2179,1994,2278,2535,2517,2788,2216,2189,2582,2327,2293,2309,2260,2332,2415
241.1678,165.68,242.8571429,226.2857143,234.2857143,0,0,61.14285714,160,143.4285714,160,571,2270.018555,494,394,422,389,193,173,139,0,0,0,0,0,0,0,86,0,218,279,169,0,0,0,1362.290894,365,428,117.7142857,98.28571429,67.42857143,1281.863281,1548.947405,284.5714286,89.71428571,88,0,247,346,183,3021.221191,3942.941406,3034.393555,3436.728271,2961.239502,4784.756348,286,297,210,0,0,0,243,291,234,303,192,308,0,0,0,131,108,152
241.17869,75.57,11436.05246,15733.72879,16600.46875,238.2857143,182.8571429,229.1428571,185.1428571,182.2857143,0,31514.96094,1493,21607.49414,18615.25,31827.82031,32587.89063,14279.37012,10397.7002,7613.657227,431,416,497,329,319,357,475,445,422,3991.362305,5454.700684,609,202,155,142,13774.71094,11130.09961,13477.05469,123.4285714,188.5714286,209.1428571,4306.95731,4901.947545,4399.581473,82.28571429,62.28571429,129.7142857,426,390,369,8282.304688,7644.612793,8587.633789,417,460,499,221,272,312,0,0,0,123,0,236,340,281,317,0,0,0,0,0,0
242.0944,459.26,13774.38728,13753.02009,14068.48996,2388.014509,3321.73298,2710.750837,6861.331473,7571.975446,9056.669085,18126.83594,18852.46484,19724.51758,19784.60938,21147.73633,20991.53125,7076.987793,7023.402832,7454.839355,8403.734375,9495.90332,10871.40332,10146.41406,9362.728516,9676.359375,2308,7743.024414,8773.913086,9350.757813,9555.635742,10928.23828,3226.007813,3444.621826,3746.100098,23160.63477,20828.67383,21435.86523,0,0,0,143.4285714,158.8571429,155.4285714,0,0,83.42857143,0,0,244,258,330,234,174,275,304,227,191,317,0,0,0,152,196,0,131,214,207,0,0,0,0,0,93
242.09483,458.4,1088,1009.142857,1151.428571,1140.571429,1045.714286,1195.428571,1473.714286,1638.857143,1606.857143,1606,1854,1752,2028,2157,2773,2249,2613,2259,1919,1793,2150,2156,1815,1751,988,785,1002,2036,2120,2004,1411,1811,1504,1468,1568,1592,0,0,0,0,56.57142857,0,0,0,78.85714286,147,0,0,0,0,60,0,0,0,183,0,0,0,0,0,103,85,90,85,102,0,0,61,0,0,0,0
242.11551,247.74,5161.438058,11770.39063,12329.31138,162.2857143,153.1428571,92,9297.753906,10344.64732,8912.425781,575,596,31916.36914,7610.374023,523,469,398,521,438,0,281,0,179,201,226,203,258,217,321,0,302,117,137,0,491,400,457,130.2857143,94.85714286,146.2857143,0,0,282.8571429,150.8571429,153.1428571,144.5714286,292,326,291,413,454,441,422,446,436,0,252,318,0,0,0,333,315,280,316,293,353,0,0,135,157,0,145
243.09758,459.69,626.2857143,662.2857143,704.5714286,188.5714286,191.4285714,175.4285714,389.1428571,388.5714286,493.1428571,1118,1021,884,977,1003,3903.983154,1141.687134,532,385,428,444,694,485,530,658,503,317,1923.251709,1682.116699,611,2188.258301,255,210,231,1238,1118,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243.21999,328.76,198.2857143,262.2857143,800.5002093,0,0,0,0,0,88.57142857,234,365,1604.271362,211,251,379,0,0,0,13809.12305,15318.75391,15983.0332,6109.325195,1955,5983.13916,3875.279297,3748.314209,3810.886719,107777.0859,102416.3906,99670.19531,1631.759033,410,1499.80957,17151.67578,15355.82617,15726.43945,0,0,0,39.42857143,0,0,0,0,46.85714286,0,0,0,297,272,181,216,323,348,0,0,0,0,0,0,0,171,159,0,0,0,0,0,0,0,0,104
243.25645,538.93,38817.00446,38314.79464,41073.94196,15275.91295,18620.17634,19244.04911,54106.01339,57752.65179,68713.70982,57633.80078,58482.68359,61193.94531,65637.60938,67362.875,69240.48438,37579.49219,43103.69141,40456.51172,34529.82422,34962.94922,38290.07031,32105.08984,32451.37695,32787.30469,43680.69141,40289.57031,42077.10938,31385.22852,25121.20898,28192.25391,9843.274414,14457.88086,11494.72949,2634.426025,2719.808105,1843.358643,158.2857143,70.85714286,154.8571429,1009.440639,1216.325056,1289.916992,197.7142857,230.2857143,196.5714286,307,380,352,2131.638916,2020.066772,2154.464355,0,2165.474121,2325.364258,2258.859863,2099.862061,2667.054199,347,298,314,2069.580811,2149.130127,1894.071289,2100.870117,2411.430664,2477.492432,0,149,0,0,359,354
243.2565,557.15,14795.98996,14571.86496,15009.95201,11092.89732,13560.85045,14134.52344,20803.31696,22395.12723,25234.38393,18196.04688,19025.95508,19299.44727,20772.625,23919.59375,23116.29102,17991.11914,21121.29688,19160.74023,8054.620117,9723.992188,10154.32422,13543.30176,14581.85742,14334.47266,13649.5625,11901.2207,13307.35547,10466.09863,8710.984375,10131.13477,6065.17334,6806.500488,2039,2616.769531,1980.881226,1511.567261,969.5652902,276,950.8674665,1223.619141,1293.921177,1126.38923,635.066197,0,298.2857143,338,398,1589.83374,2291.941895,1747.016968,1750.44165,0,836,2078.661865,1940.246704,2368.93335,2797.421387,1441.553955,405,1394.156982,2086.749512,2814.300293,1676.610718,2127.993164,2584.337158,2144.523438,202,298,258,295,466,1147.118896
243.25652,526.44,29342.23884,30335.54688,30905.23884,1425.714286,15193.02679,14976.28013,38819.25893,38687.04911,48020.88839,36088.59766,43201.26563,43741.39453,48874.90625,50159.33203,51506.18359,3137,31920.23438,28672.76563,26928.49023,28007.0293,29988.03711,2452,21437.60547,18132.63672,33633.51953,27567.70508,31121.53125,2751,2295,2620,1077,1123,1135,368,0,236,0,77.14285714,0,124.5714286,148,0,0,106.2857143,123.4285714,193,128,209,0,0,247,323,301,266,0,0,0,0,0,202,0,0,210,243,306,0,0,0,0,113,0,0
243.25655,20.89,5663.122768,4451.53404,5491.392857,5486.55692,4876.498326,3773.032366,7938.957589,8383.289621,6206.353795,7550.973633,6715.290039,7371.786621,8825.270508,9111.696289,10230.12207,9595.506836,8280.30957,8541.768555,13140.02441,10221.76758,12354.45703,12493.75488,11616.50586,12269.98633,10368.97852,11275.82227,10128.47266,8422.517578,8978.517578,8459.84082,10531.82129,10566.65723,9470.813477,226,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,405,305,0,412,421,0,0,0,0,211,267,0,0,0,0,0,0,0
244.05568,22.28,199.4285714,0,272.5714286,0,896.5132533,286.8571429,255.4285714,0,273.1428571,0,0,2392.221924,419,97,0,263,475,0,0,413,0,440,0,0,0,1844.078979,2094.11084,2398.772461,0,534,0,549,0,763,3711.519287,3370.407471,2253.142857,2024,2286.285714,1227.428571,1679.428571,8097.787946,1168.571429,1302.857143,1104,5896,5162,5983,4578,24175.71484,4397,4369,4679,4985,10948.17578,2333,12239.79492,24193.94141,27419.02539,30523.08594,3791,3711,4167,24799.49609,28578.02734,29049.96875,3998,4309,18440.27734,3699,4068,21523.7168
244.05614,19.72,199.4285714,0,272.5714286,0,330.8571429,286.8571429,255.4285714,0,273.1428571,0,0,529,419,97,81,263,475,0,0,413,0,440,0,0,0,501,530,542,0,2456.76709,0,2352.829102,0,3160.945557,805,676,11719.35491,11248.99888,12320.20647,1227.428571,8229.084821,1397.142857,1168.571429,5732.791853,6515.070871,31709.59961,27505.83594,5983,28722.60156,4520,24711.31445,27658.76172,27147.79883,29795.82422,2557,10984.95215,2558,5730,6359,7504,16006.26367,20199.99219,18739.94141,4520,5500,4822,17473.71484,18578.40625,3747,16541.75,18473.28125,3572
245.19927,476.2,15048.87388,973.7142857,16131.2433,4050.236049,4919.550781,4965.715402,7086.522321,9593.621652,11128.43192,1416,24161.19141,1616,853,18986.01758,861,12990.4541,12610.11914,13626.52637,5954.466309,8009.49707,709,5620.897949,457,424,6632.449219,6870.898438,7268.41748,8681.067383,6607.13623,650,380,423,369,15829.0752,13463.5459,14233.39453,233.1428571,225.7142857,210.2857143,370.2857143,468.5714286,479.4285714,460.5714286,495.4285714,521.7142857,410,4408.777832,488,609,633,616,712,927,1528,4484.074707,7366.762207,6409.05127,271,207,0,5104.095215,642,655,0,0,13953.87402,333,313,282,6608.244141,485,8940.564453
246.08499,392.95,1322.180664,1614.568499,1200.331473,174.8571429,170.8571429,219.4285714,190.2857143,257.7142857,284,2406.154785,3011.136475,2013.717285,2078.286621,2048.868164,1706.587036,376,417,361,494,1856.447632,487,303,374,377,277,0,261,433,382,1493.80957,0,284,202,1803.443359,360,408,1272.813895,1120.265904,1665.637974,2969.469587,2882.481306,2933.823103,2460.02567,1845.366769,2335.715262,1958.169189,1817.015015,1678.604614,3701.722168,3117.490479,3704.355957,3319.067139,2575.242188,3649.096436,2439.841309,520,2506.443604,136,0,0,2847.166748,3203.938477,3206.524414,1765.290283,1774.723633,2543.628662,344,449,312,399,463,481
246.11141,23.51,16282.25558,4646.857143,4172.571429,3861.714286,15266.25446,15122.75446,17914.70089,4862.857143,18958.66295,8216,31077.42188,33252.71484,7833,7538,7549,8069,7594,7627,59920.56641,62888.45703,62437.83984,57621.27344,61324.19922,59111.22266,45450.20313,45604.17578,45456.10547,103167.1094,99875.29688,102737.2188,92331.92969,96026.47656,92549.17188,148081.0781,138336.8438,143392.6406,7949.794085,5763.238281,8809.233817,9835.001116,9154.805804,9304.158482,7650.304688,8717.40904,8944.808594,5711,21084.56641,20814.37305,20624.41016,21764.38477,21376.97461,19533.18359,21583.91016,19947.04102,23932.92578,21611.89063,5582,4709,19409.125,19671.01758,6741,6170,6567,35091.88281,35198.375,8499,8024,7527,8382,10395,9618,38734.53125
246.1361,21.76,968,968.5714286,904,907.4285714,881.7142857,964.5714286,921.1428571,949.1428571,1082.857143,1432,1608,1689,1700,7045.399902,6992.032227,1776,1899,1613,1785,0,0,0,0,1735,1548,1681,0,0,0,0,0,0,0,0,0,0,3525.263672,3794.244699,3490.447824,4255.545201,3836.43192,1029.142857,973.7142857,4060.610491,913.7142857,2008,6613.029297,1748,1681,6650.132324,8184.994629,1578,1694,7418.545898,6639.389648,6636.262695,6055.35498,1437,5177.375,1331,6961.38916,7758.859375,6810.422363,1630,0,5617.375977,0,5439.818359,1573,0,1660,1599
247.11683,32.86,499.4285714,564.5714286,468.5714286,200.5714286,176.5714286,234.8571429,472,665.1428571,647.4285714,1139,906,849,1238,846,876,773,0,1562.067993,1393,1448,1738,948,1105,1070,855,661,749,1515,1767,2230,532,592,512,4068,3352,3428,0,0,0,278.8571429,316.5714286,2118.357701,0,0,0,0,451,473,715,4396.178223,812,5135.536133,724,2910.237793,370,0,397,0,0,0,311,379,547,828,603,573,0,244,0,419,503,0
247.96503,448.34,937.7142857,1130.857143,1159.428571,1140,1322.285714,1455.428571,1453.714286,1504.571429,1548,1694,1549,1579,935,1134,1062,1127,1153,912,779,625,808,662,580,577,293,325,255,1136,986,988,433,558,450,702,644,727,103.4285714,115.4285714,90.28571429,145.1428571,128,149.1428571,105.1428571,98.85714286,138.2857143,105,153,140,183,211,161,192,180,111,239,136,162,201,137,162,204,153,162,182,164,158,196,202,163,123,155,148
248.08975,223.64,558.2857143,555.4285714,684,374.2857143,355.4285714,515.4285714,644.5714286,625.1428571,609.7142857,942,962,9848.891602,1026,1110,11957.49414,671,10272.01953,839,899,886,734,636,607,452,0,365,390,357,343,402,0,206,0,654,628,2860.178955,1149.142857,1198.285714,1301.714286,21455.04911,20493.23214,21406.03571,19337.91964,17359.97991,17911.69866,4745.866211,2852.894287,4249.894531,12308.38965,12522.7793,11218.00488,11136.72754,11158.82813,9484.922852,1107,693,902,156,81,0,1090,1322,1386,13854.66113,17716.83984,17356.94141,5199.300781,6910.541504,5763.827148,1513,5906.969727,7829.509766
248.10362,290.95,5024.103237,269.1428571,241.7142857,92,0,141.7142857,200.5714286,174.2857143,233.7142857,407,495,0,330,466,244,336,0,231,0,229,0,166,214,0,125,167,192,244,0,201,0,0,0,0,354,497,0,0,0,0,359.4285714,1616.305804,170.8571429,112,0,451,6164.257324,7160.845703,8724.069336,483,12357.8418,9372.62793,7023.98584,13175.05176,236,333,393,0,0,0,3063.641113,4056.100098,335,464,422,0,151,0,0,182,261,256
248.1261,243.88,35643.93527,34070.79018,37169.26563,11174.74219,13850.25335,13415.82701,38953.79911,41085.93304,43855.79018,52298.97656,53558.8125,63941.62109,38170.05859,35317.53906,39773.69141,38486.42578,40105.60156,38347.76563,35431.37109,34169.90625,39427.77734,167361.125,187926.7813,68524.64063,63766.16406,171955.0938,128765.9063,34292.78516,31697.78906,41543.94922,86487.26563,108470.7188,1114,34182.66797,27611.80469,29968.07617,8971.417411,10176.36161,11853.66629,61575.78571,62182.79464,60520.36161,25449.19866,23781.53348,27547.66964,6817.961914,49310.91797,11158.16699,22391.67969,19617.29297,19986.11914,17710.01953,19360.76563,19683.97656,12230.8252,12657.31641,15392.01465,520,620,443,16454.77734,17415.43555,18934,25393.78906,30430.66016,28594.37695,908,847,80744.88281,53472.66797,80319.21875,32762.0957
248.1269,22.46,8736,8706.285714,8983.428571,7833.714286,7382.285714,7361.714286,40978.46875,40806.70536,8424.571429,67085.76563,14018,13491,13172,64815.98828,14072,65084.24609,13770,13743,87086.39844,82515.57813,87581.47656,16420,82086.07813,84456.66406,86293.21094,82216.14844,85836.59375,93848.64063,90055.38281,92858.19531,86757.00781,89372.02344,83921.5625,101290.6875,97044.92969,95778.92969,54972.96429,11374.85714,12090.28571,67831.60714,68978.04018,69563.02232,65938.95982,66492.33929,67293.75,20054,84113.76563,20169,113909.375,102490.4063,113069.4531,101098.4688,96352.4375,101947.0469,25415,23512,24057,19869,19792,22134,25132,118541.3906,26769,18216,19522,18222,15386,15261,14626,17492,78696.42188,17242
248.17773,1061.46,11927.46987,20991.81473,20938.89732,3943.534877,4710.019531,4710.08817,164.5714286,103.4285714,220.5714286,14017.17773,12360.92676,21022.63281,12414.91211,18237.75977,11033.91699,7752.621094,8442.972656,7763.273438,259,237,258,252,219,282,20269.14258,17311.375,21758.20313,5065.749023,4505.746094,2684.548096,9308.642578,9286.637695,9380.486328,36126.84375,23303.22852,37616.02734,6557.458147,6335.843192,6534.674665,16550.52121,9368.310268,10686.02567,1925.963309,3187.745257,2866.367746,15324.3584,14540.94336,20266.42578,20829.49805,19246.32422,19071.42969,7515.286133,13160.85742,12876.60156,18760.77734,18768.75391,18908.25195,24138.76367,24241.00977,23982.2832,17693.62109,17741.20117,18569.76367,21067.98828,23246.10547,22737.89453,9016.960938,9395.128906,10446.71094,19487.06445,19476.33984,12986.1377
248.17791,991.19,1599.428571,1714.285714,9128.602121,1322.857143,1489.714286,1684,0,217.7142857,186.2857143,1521,1538,1716,1029,1390,1349,2640,14405.2627,2698,159,77,0,0,0,0,1763,1457,1891,259,0,351,1579,1919,1790,25382.40625,28570.32031,25571.77734,1412,1434.285714,8540.05971,1407.428571,1742.857143,1758.285714,986.8571429,1025.714286,944,2366,2006,2423,2708,2554,2606,1506,1293,1145,1203,1158,1883,1885,2097,2418,2129,2414,2076,1806,13049.55762,2819,1203,1432,961,999,1000,1063
248.17791,974.68,70589.63839,92411.32143,79838.65179,36461.37277,39272.47768,38674.98661,5960.706473,515.4285714,6292.207589,67675.71875,67011.07813,71311.64063,64970.53125,69481.4375,69480.9375,73187.85938,73417.42969,72914.1875,532,420,635,15518.62109,16821.15625,16736.88672,81208.80469,74117.14844,94830.86719,42481.73047,2642,47861.67578,53498.4375,55350.64453,55247.73438,173966.5313,210380.4844,202286.0781,24668.16071,24445.49554,66934.83482,58121.62946,67263.05804,61610.86607,24255.4308,26670.22545,28009.47545,77880.17969,84950.66406,81968.78125,101988.3516,112023.7813,98071.39063,55735.26563,59210.70313,61288.65234,57864.42969,65696.09375,73556.80469,74997.53906,86940.60938,97563.57031,159161.3281,136875.0938,134303.1719,123520.9922,143830.7656,133533.3906,38964.48438,40031.60547,2370,120000.4609,38235.08203,52519.43359
249.08804,20.61,884,1105.142857,1100,6172,71.42857143,5892.571429,1102.285714,1057.142857,1045.714286,1588,1504,1409,1850,2150,1781,2263,1945,1940,2391,1951,2549,1486,1767,1903,1025,1072,860,1851,1282,1954,2193,1535,1854,2298,2567,2576,180.5714286,225.7142857,220.5714286,0,260,299.4285714,200.5714286,221.1428571,172,378,486,342,618,700,602,311,392,358,292,290,169,169,0,0,313,240,321,0,217,313,395,430,478,174,355,300
249.13383,21.95,1561.714286,7648.25558,7259.874442,6475.369978,6689.047991,6008.163504,1504,1597.142857,8984.811384,2453,13281.74316,12324.71875,13376.30859,2967,14288.86816,2545,2658,2583,3421,2882,3008,13698.28418,2891,3059,3180,2879,2833,3250,3209,3418,3124,3255,3414,3846,3846,3493,2004,9456.207589,9119.295759,2565.142857,2358.285714,2692,2640.571429,2398.285714,2318.285714,16999.07422,3456,16345.9082,4621,4391,4762,3602,4136,3832,18980.80664,18551.83984,17157.02539,13658.98535,15443.38867,15677.25977,19622.61719,4779,21299.41016,16513.13477,16377.11914,15725.49805,12633.0127,13072.93652,12196.03809,14924.0332,3096,15364.27441
249.1526,72.61,285.1428571,290.2857143,313.7142857,85.71428571,140,143.4285714,2110.757673,1004.219936,248.5714286,3035.446045,1689.182251,439,391,4416.913086,430,0,340,307,366,386,457,0,0,258,353,343,368,0,0,0,113,0,0,302,284,0,0,103.4285714,0,0,293.7142857,260,110.2857143,124.5714286,158.8571429,0,213,154,479,400,421,0,356,0,0,0,0,105,97,0,0,0,262,0,226,0,0,0,0,161,0,0
249.58955,20.67,332,305.1428571,336.5714286,1984.571429,2136,1634.857143,349.7142857,440.5714286,276.5714286,336,478,455,524,589,649,676,511,651,606,723,842,580,568,582,357,400,392,720,446,622,575,661,713,782,783,770,0,0,0,102.2857143,91.42857143,119.4285714,0,0,0,0,0,0,235,268,206,0,0,107,0,0,0,0,0,0,78,85,0,0,0,121,193,137,197,0,0,0
250.02995,273.94,210.8571429,240,186.8571429,0,0,0,0,130.8571429,0,2082.748535,2275.871338,2356.814209,0,191,212,0,0,0,13367.42676,13571.35156,13364.87402,805,2213.258301,2303.897705,2492.7854,2521.291504,2915.877197,12218.43164,12520.07227,14919.57617,132,211,171,7233.249512,6629.248047,7244.384766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.03056,273.7,300,381.7142857,261.7142857,153.1428571,139.4285714,130.8571429,174.2857143,234.8571429,210.2857143,904,941,1030,298,274,389,304,297,349,7082,7316,8189,1925,1696,1696,655,502,795,9720,10174,10048,1045,1048,1064,1659,1767,1581,161.7142857,192,224,113.7142857,98.85714286,104.5714286,83.42857143,105.1428571,78.28571429,0,229,93,0,0,90,103,92,84,104,82,121,0,0,0,114,100,0,88,85,0,0,92,0,0,0,0
250.08469,257.26,198.2857143,238.2857143,214.8571429,217.1428571,214.8571429,260.5714286,204.5714286,312,308.5714286,360,393,470,379,300,362,499,525,310,660,671,767,466,385,354,275,240,224,702,729,841,256,264,216,394,413,402,148.5714286,138.8571429,153.1428571,117.1428571,122.2857143,145.7142857,158.2857143,150.2857143,218.2857143,220,179,244,245,276,157,204,295,345,203,136,177,0,0,116,192,90,219,188,193,162,198,180,137,134,109,160
250.12052,456.7,897.7142857,914.2857143,1027.428571,294.2857143,337.7142857,445.7142857,751.4285714,746.8571429,905.7142857,949,13756.41113,1530,1660,1587,1870,932,764,905,703,627,682,554,590,583,614,438,605,416,644,421,236,373,0,902,1195,1165,4046.553292,11327.44754,531.4285714,6720.008371,818.8571429,5983.137277,4314.240792,3981.193638,4829.686384,8236.532227,863,1096,11878.75391,11170.4668,87014.71094,1722,2067,2014,8144.691895,1040,1110,181,0,139,832,1253,5932.072266,7495.079102,1514,1545,241,285,336,441,490,599
251.13708,23.07,2226.016323,2079.635463,5266.143415,770.2857143,1266.285714,710.2857143,3911.430246,4822.506138,2876.849609,8410.666992,6298.996582,6215.883301,1507,2261,8465.472656,6733.761719,2184,5859.887207,12038.13965,11854.75586,11785.17285,11834.00098,8704.977539,13378.82422,42006.59766,40871.16016,43658.35547,6326.734375,11312.69727,7043.073242,6624.263184,9428.967773,7037.967285,2584,4069.901611,2287,689.7142857,1272.571429,3177.531529,851.4285714,805.1428571,1360,1379.428571,738.8571429,677.7142857,2314,2590,2601,1187,1173,2291,2490,2146,1293,7357.693359,1929,1502,7339.208496,8481.103516,7567.789551,6879.021973,8358.410156,6339.316895,6636.546387,2244.074707,7230.384766,6245.64209,1950,5773.713867,7714.675293,6881.713867,1581
252.12099,59.66,8881.907366,9286.102679,9776.684152,0,240,427.4285714,9191.291853,9522.747768,10650.94754,43766.92578,27111.61328,24001.06055,12466.67969,14783.29004,14426.02832,6932.236328,8612.842773,7504.418945,11089.82129,12229.79492,13630.79199,4502.916992,5328.696289,4828.17627,7514.714355,7993.148438,10435.45215,7055.366211,8463.451172,10874.20508,316,298,370,18718.26758,15192.98926,17522.52148,15117.10714,14519.60156,22167.37277,45257.74107,45212.58036,45680.41518,13803.3683,14524.20424,16729.58371,63192.02734,52315.35156,69012.57031,108899.7656,98079.57031,95002.54688,108149.8984,102398.4297,112562.3672,31234.22852,31413.00195,36312.04688,5524.645996,922,6678.720703,37009.51563,39685.26563,37281.92188,5936,45772.30859,46447.34766,22506.24023,13114.07813,2060,39168.79688,38573.375,27874.22266
252.12107,22.66,10501.35379,9399.784598,9018.797991,8487.119978,9585.530134,9243.303013,12061.95424,12265.21429,9863.325893,20661.07227,18346.48828,20640.17773,14787.62695,14401.14844,21845.32031,15014.24609,14860.54883,13581.64355,19893.16992,18929.27344,18564.07031,18517.92188,16648.9668,15874.89844,18862.44727,17561.67578,15919.41504,21925.4375,19964.11719,20777.44531,14272.21777,14901.55762,13960.3877,24482.37109,23517.01172,23320.68359,36565.76339,36797.58482,36414.1875,27840.73661,18051.8683,28182.76116,30669.57589,30315.33036,30650.09375,88505.82813,83711.84375,85470.85938,14985,67652.03125,75447.75781,71542.10156,68899.20313,74950.1875,50039.69922,49008.24219,50159.55859,42898.29297,43861.375,42735.78906,52224.70313,59013.66797,53424.21875,55710.74609,57728.01563,59467.09766,62996.44141,12784,58250.96094,57231.67578,58897.64453,65042.88281
252.13601,23,924,4759.377232,821.7142857,481.7142857,517.7142857,416,3678.804408,703.4285714,693.7142857,1557,1408,1360,1496,1360,1491,790,4098.325684,935,1229,6821.891602,1232,6289.688477,1198,1181,1605,1293,1076,7361.396973,7583.354492,1469,847,677,3709.716064,1448,9110.838867,7134.801758,2970.180804,560,677.7142857,830.2857143,5653.195313,5789.830915,2995.247489,2507.395089,581.1428571,1445,7598.074219,1413,9525.821289,9356.53418,9278.933594,10012.19336,1546,10001.00977,1519,1511,1684,930,1123,942,1462,1412,6592.258301,1543,1358,1307,1209,1081,5198.456055,1297,1254,1400
