"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.30",64.8495388325174,5.0075578856614,2.80252952261113,1.78679933440838,0.0739699269808609,0.254407029197773
"MSTRG.4",447.536532675632,-0.014370213344607,1.0915275374978,-0.0131652320724304,0.989495968023207,0.996712236211156
"MSTRG.31",546.47513762778,0.750388256749502,1.08897628528794,0.689076765846274,0.490774960321406,0.732672613177795
"MSTRG.7",572.650201154425,-0.944074603446568,0.931858877087172,-1.01310898748701,0.311008105868182,0.586175958573752
"MSTRG.28",904.355585168594,-0.917800394257201,0.611515179977718,-1.50086281470665,0.133391047759334,0.36342155520613
"MSTRG.5",86.1015083945766,3.97184027105303,1.66611904209371,2.38388744783918,0.0171308408515743,0.096553573208098
"MSTRG.11",37.4718767029635,0.815596384080544,2.22239306939471,0.36699015818236,NA,NA
"MSTRG.12",54.7593626749557,-9.06187498411262,2.5682122337547,-3.52847590437036,NA,NA
"MSTRG.8",472.673329832964,1.05960571482523,1.19830912881516,0.884250724078957,0.37656088193933,0.645436793172149
"MSTRG.9",247.233717335015,-0.679621023854059,1.74977502700771,-0.388404802539831,0.697716490752389,0.862962700680991
"MSTRG.15",39.8872937036401,-2.53980489498904,1.62079699302197,-1.56700987595837,0.117112383202905,0.336259806861036
"MSTRG.2",783.060262147223,-1.45853794389205,0.708428148298951,-2.05883680284901,0.0395098747874909,0.169938837778421
"MSTRG.6",73.3313688752883,-0.00621415278828238,1.25464547236478,-0.00495291532560973,0.996048161488074,0.998758216194425
"MSTRG.17",66.1937811250745,4.75826947984787,1.25354267992779,3.79585757712051,0.00014713395328896,0.00237811451467606
"MSTRG.18",49.0419796824419,3.90835209984506,1.804248431454,2.16619398510182,0.0302963665784427,0.142458583514948
"MSTRG.21",4.88134083321023,0.347776104375495,2.91212417621261,0.119423514703208,0.904939832566571,NA
"MSTRG.23",14.1647205222862,-2.44032913362253,2.57287454370158,-0.948483531618935,0.342883352680986,0.61453069968117
"MSTRG.24",171.641494154622,2.73734013810579,1.7695923476379,1.54687611627597,NA,NA
"MSTRG.22",377.869631949534,-0.240670706526079,1.12711888712399,-0.213527347714123,0.830915660546267,0.933624040379461
"MSTRG.26",33.5189532629075,6.21522956069471,2.24549067457901,2.76787146393291,0.0056423704049372,0.0434040097727388
"MSTRG.29",332.500931650246,0.274546846704839,0.715428611792223,0.38375156120339,0.701162592750812,0.865195725882692
"MSTRG.38",3.64953451697117,0.115145609753628,2.91983666139476,0.039435633943518,NA,NA
"MSTRG.33",1582.11678635733,-2.61747230098702,0.660513678071036,-3.96278288835909,7.40811464393e-05,0.00131969943223447
"MSTRG.37",120.634538338065,-3.78916093306738,1.72067926683953,-2.20213087127338,0.0276560653742702,0.134801355496443
"MSTRG.41",20.9231204631986,5.15369074082475,2.31225232475555,2.22886174041131,NA,NA
"MSTRG.34",477.003160502815,1.46389147360668,0.791058965853635,1.85054659234787,0.0642348091951139,0.233475165742609
"MSTRG.35",283.42475944838,0.608232305209466,1.37451613910016,0.442506484942151,0.658122738637116,0.84180091725897
"MSTRG.40",25.2536574247768,1.66283691000567,2.25945860535208,0.73594484363061,NA,NA
"MSTRG.36",76.799928185532,-7.31662929827681,1.68115160187188,-4.35215318483479,NA,NA
"MSTRG.43",587.437858630088,0.49579308501467,0.879850408894364,0.563497021769522,0.573096487528435,0.788816200213196
"MSTRG.44",114.63905251828,2.6323738544542,1.52346953959465,1.7278808575028,0.0840095869368097,0.274754729211603
"MSTRG.46",260.638825907719,1.9107103901542,1.01619811614042,1.88025382039793,0.0600734937207839,0.224501850504695
"MSTRG.45",45.1705172025658,1.13975534355556,1.47500603447104,0.772712325861293,0.439692650348124,0.692863620458197
"MSTRG.47",78.7064980631056,0.754122371104122,1.55889221934469,0.483755298631955,0.62855954285005,0.82523797701611
"MSTRG.48",171.144711771844,-1.04545964474742,1.27829650556123,-0.817853792292435,0.413440677930035,0.674256921075515
"MSTRG.49",141.669379315803,-0.114805802795548,1.16589423547081,-0.0984701693367469,0.921558958236905,0.968106027151334
