"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.30",42.8368648036659,-0.594753278949546,3.42484294461358,-0.173658555609081,NA,NA
"MSTRG.4",713.018287180635,0.0807980802294035,1.67204165208563,0.0483230068632679,NA,NA
"MSTRG.31",594.839648806471,0.427874699991517,1.45278555543684,0.294520205263783,0.768360426159409,0.924653688156322
"MSTRG.7",472.875800049871,-1.11448641573194,1.60877781448613,-0.692753471421985,0.488464276217344,0.791992286000124
"MSTRG.28",697.820151695564,-1.70732370983745,1.04672312088013,-1.63111301907793,0.102866474079358,0.383952637325658
"MSTRG.5",59.8163062320433,-1.52002747243276,1.76504139725595,-0.861185168118942,0.389136067564583,0.7253624081386
"MSTRG.11",20.8721619940962,-7.48727334228326,2.54726923546741,-2.93933332135949,0.00328919131177418,0.0448672041389572
"MSTRG.12",0.317587686888391,-1.51592697171604,3.99966448705287,-0.379013533915952,0.704677813724634,NA
"MSTRG.8",590.346016689462,1.070296028007,1.314187942083,0.814416259451116,0.415406527119591,0.743678669362092
"MSTRG.9",46.3617621069446,1.28459700546416,2.80292835312826,0.458305330577023,0.646733094967552,0.873077700013594
"MSTRG.15",72.5065044426321,-2.67365005458713,1.85860310674255,-1.43852662512388,0.150284688551865,0.46865462416115
"MSTRG.2",380.488715102707,-1.23002346235035,1.29643558930693,-0.948773292322157,0.342735928187514,0.685283229006735
"MSTRG.6",54.2872583368276,0.467732709310702,1.81056038124775,0.258335879960195,0.796147697589777,0.935893988487124
"MSTRG.17",61.423569636672,2.76628263401305,1.74960119629982,1.58109324562842,0.113856718886402,0.405153623806258
"MSTRG.18",75.1616205090306,0.241356113518482,2.30852032594938,0.104550135775488,NA,NA
"MSTRG.21",3.93808731741605,-5.08938396924186,3.91474114399675,-1.30005632097704,0.193581666584805,NA
"MSTRG.23",7.00852459053653,-5.91639581339985,3.70506234890838,-1.59684109368443,0.110301133218237,NA
"MSTRG.24",359.801334662208,5.5960106168575,2.1281889356467,2.62947077824038,NA,NA
"MSTRG.22",476.609561225962,-1.98139156075711,1.80600777098722,-1.09711131512685,0.272592734488924,0.6192713499381
"MSTRG.26",23.2501512403554,3.63756410952267,3.35977011763929,1.08268244021367,NA,NA
"MSTRG.29",434.123765241838,0.124320886424842,1.196700786751,0.103886358061457,0.917259533215413,0.975364542883384
"MSTRG.38",3.55842179174944,-4.94320771327383,3.9155897074624,-1.26244271810526,0.206789525991568,NA
"MSTRG.33",1782.76922330269,-3.55118774364377,1.21573744564935,-2.9210153527409,0.00348892634000432,0.046184794807599
"MSTRG.37",148.388130720118,-8.33519244651792,1.69532737464355,-4.91656807480646,8.80745799310477e-07,7.51356627791874e-05
"MSTRG.41",7.9657224077313,1.5451103467361,3.75333723567393,0.411663074676706,0.680586393347799,0.888942346159981
"MSTRG.34",449.745905348308,0.328637806209751,0.94583736667097,0.347456991857327,0.728248023681149,0.907002080916564
"MSTRG.35",45.490756317657,2.19078855571358,2.5764676203131,0.850307039933746,0.395154403599711,0.729727553701963
"MSTRG.40",13.8076924903434,-5.38371524477306,2.92085139796624,-1.8432006669431,0.0652997175663544,0.297668536359011
"MSTRG.36",34.5495880689327,-5.66112821600687,1.89725505305566,-2.9838519638618,0.00284644451208201,0.0406065428497145
"MSTRG.43",407.589986597553,2.65888042036526,0.985009094147872,2.69934606305889,0.00694758891278611,0.0748238849411619
"MSTRG.44",91.8020594665786,-0.748756762471966,2.22825319041428,-0.336028583148917,0.736849312218872,0.911051690740044
"MSTRG.46",411.816227375615,2.8007391560291,1.49903338890283,1.86836342456589,0.0617114315777779,0.287967138144405
"MSTRG.45",40.1964596017415,1.34107440109867,2.41338918689236,0.555680952074506,0.578428980287684,0.841071346230106
"MSTRG.47",22.3868504670635,0.369404843267068,2.4687929017059,0.149629741324926,0.881056742153766,0.965089189219487
"MSTRG.48",110.656545746559,-0.751928837332313,1.87806346066051,-0.400374562991532,0.688880656720825,0.890288436349216
"MSTRG.49",102.133580546113,0.874072702233159,1.51386030169989,0.577380027240079,0.563682763393891,0.833592732459976
"MSTRG.51",29.7284951651788,-2.78115143504416,1.79243351398277,-1.55160646871887,0.120756414414218,0.41889612925502
"MSTRG.52",1369.46871960776,-0.231947562482007,1.09249989090986,-0.212309002876729,0.831865972249603,0.950125920119063
"MSTRG.53",1345.75411246718,5.48871526866752,1.90762766628809,2.8772466271406,NA,NA
"MSTRG.55",33.4956075771721,1.33263377591291,2.42946206069081,0.548530391758405,0.583327766924741,0.844202540394736
"MSTRG.54",654.443917273229,-0.0949072907166896,0.992837397040136,-0.0955919781019821,0.923844636570862,0.977002007955155
"MSTRG.68",4.5217775342404,-3.29997112983106,3.84975981994682,-0.85718883363395,0.391340532641889,NA
"MSTRG.67",335.242848246172,-0.020859337101114,1.85191061211121,-0.0112636846318052,0.991013069964453,0.996747002390652
"MSTRG.69",21.4750158290318,3.63289582254221,3.37981511177172,1.07488004591998,NA,NA
"MSTRG.62",10.3652454990919,-6.48220665162029,3.57820242852908,-1.81158187137137,NA,NA
"MSTRG.56",334.064333022721,5.00518681704324,1.9769782505455,2.53173590334753,0.0113499441237124,0.102172342601171
"MSTRG.57",770.1273278098,-0.329486221284055,1.11308401689889,-0.296011995753943,0.767220920430294,0.92427775083119
"MSTRG.58",0,NA,NA,NA,NA,NA
"MSTRG.59",263.640802332019,-0.189064887971618,1.53108454816671,-0.123484289746115,0.901723614042963,0.969984768007723
"MSTRG.60",369.36640772575,0.364667941411046,2.11440678485322,0.172468204332006,NA,NA
